date,store,category,promotion,sales
2021-01-01,Store_A,Grocery,0,464.02
2021-01-02,Store_A,Grocery,0,464.91
2021-01-03,Store_A,Grocery,0,399.32
2021-01-04,Store_A,Grocery,1,518.11
2021-01-05,Store_A,Grocery,0,415.05
2021-01-06,Store_A,Grocery,0,458.45
2021-01-07,Store_A,Grocery,0,420.99
2021-01-08,Store_A,Grocery,0,384.23
2021-01-09,Store_A,Grocery,0,385.75
2021-01-10,Store_A,Grocery,0,361.28
2021-01-11,Store_A,Grocery,0,439.69
2021-01-12,Store_A,Grocery,0,425.69
2021-01-13,Store_A,Grocery,0,425.65
2021-01-14,Store_A,Grocery,0,419.07
2021-01-15,Store_A,Grocery,0,429.05
2021-01-16,Store_A,Grocery,0,411.16
2021-01-17,Store_A,Grocery,0,352.42
2021-01-18,Store_A,Grocery,1,463.28
2021-01-19,Store_A,Grocery,0,461.17
2021-01-20,Store_A,Grocery,0,404.89
2021-01-21,Store_A,Grocery,0,373.34
2021-01-22,Store_A,Grocery,0,455.82
2021-01-23,Store_A,Grocery,0,445.3
2021-01-24,Store_A,Grocery,0,358.9
2021-01-25,Store_A,Grocery,0,390.18
2021-01-26,Store_A,Grocery,0,424.74
2021-01-27,Store_A,Grocery,0,429.51
2021-01-28,Store_A,Grocery,0,450.58
2021-01-29,Store_A,Grocery,0,459.48
2021-01-30,Store_A,Grocery,1,512.13
2021-01-31,Store_A,Grocery,0,330.48
2021-02-01,Store_A,Grocery,1,516.79
2021-02-02,Store_A,Grocery,0,466.82
2021-02-03,Store_A,Grocery,0,473.34
2021-02-04,Store_A,Grocery,1,491.36
2021-02-05,Store_A,Grocery,0,437.12
2021-02-06,Store_A,Grocery,0,403.11
2021-02-07,Store_A,Grocery,0,344.3
2021-02-08,Store_A,Grocery,0,416.99
2021-02-09,Store_A,Grocery,0,474.88
2021-02-10,Store_A,Grocery,0,452.13
2021-02-11,Store_A,Grocery,0,390.79
2021-02-12,Store_A,Grocery,0,442.96
2021-02-13,Store_A,Grocery,0,466.3
2021-02-14,Store_A,Grocery,0,349.75
2021-02-15,Store_A,Grocery,0,377.28
2021-02-16,Store_A,Grocery,0,419.9
2021-02-17,Store_A,Grocery,0,448.05
2021-02-18,Store_A,Grocery,0,381.37
2021-02-19,Store_A,Grocery,0,423.53
2021-02-20,Store_A,Grocery,0,440.74
2021-02-21,Store_A,Grocery,0,352.99
2021-02-22,Store_A,Grocery,0,385.36
2021-02-23,Store_A,Grocery,0,453.56
2021-02-24,Store_A,Grocery,0,408.5
2021-02-25,Store_A,Grocery,0,391.71
2021-02-26,Store_A,Grocery,0,444.01
2021-02-27,Store_A,Grocery,1,517.87
2021-02-28,Store_A,Grocery,0,290.54
2021-03-01,Store_A,Grocery,0,362.61
2021-03-02,Store_A,Grocery,0,410.76
2021-03-03,Store_A,Grocery,0,438.22
2021-03-04,Store_A,Grocery,0,404.35
2021-03-05,Store_A,Grocery,0,425.44
2021-03-06,Store_A,Grocery,0,336.35
2021-03-07,Store_A,Grocery,0,328.86
2021-03-08,Store_A,Grocery,1,475.28
2021-03-09,Store_A,Grocery,1,592.96
2021-03-10,Store_A,Grocery,0,411.6
